SEQNO,BUKRS(회사코드),BLDAT(증빙일),BUDAT(전표적용일),WAERS(통화),XBLNR(참조),SGTXT(전표적요),PARTNER(거래처),채권계정,HKONT(매출계정),WRBTR(통화금액),DMBTR_C(원화금액),PRCTR(부서코드),ZZCON(매출고객),ZZSCONID(매출계약번호),ZZPCONID(매입계약번호),ZZSEMPNO(영업사원사번),ZZSEMPNM(영업사원명),ZZREF2(오퍼링),ZZREF(세금계산서 승인번호),ZZINVNO(인보이스),ZZDEPGNO(예치금그룹번호),,사업자번호,거래처명,
48,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,109492,21120110,41021010,536,,10000003,109492,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1918603802,"주식회사 케이엠홀딩스(KM HOLDINGS CO.,LTD)",
49,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108968,11060110,41021010,564520,,10000003,108968,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1858102045,주식회사 아멕스지코리아,
50,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108747,11060110,41021010,30021,,10000003,108747,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,6138701432,에이유에스피코리아 주식회사,
51,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,100013,11060110,41021010,178936049,,10000003,100013,매출ALI999,매입ALI999,,홍채연,IBABA001,,SIGM12601000001860,,,2208183676,주식회사 지마켓,
52,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108768,11060110,41021010,681185,,10000003,108768,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,5588101943,(주)더서비스플랫폼,
53,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108968,11060110,41021010,1944815,,10000003,108968,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,1858102045,주식회사 아멕스지코리아,
54,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,108725,11060110,41021010,129328,,10000003,108725,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,6468100727,주식회사 아몬드컴퍼니,
55,1100,20260109,20260109,KRW,,Alibaba_Cloud_12월_매출,103847,11060110,41021010,161930368,,10000003,103847,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,6838801933,네이버제트 주식회사,
56,1100,20260109,20260109,USD,,Alibaba_Cloud_12월_매출,300546,11060110,41021020,3281.44,4708538,10000003,300546,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,ID090000820,PT. KOREA VISA CENTER JAKARTA,
57,1100,20260109,20260109,USD,,Alibaba_Cloud_12월_매출,300441,11060110,41021020,172.41,247391,10000003,300441,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,CN090000705,애터미 중국,
58,1100,20260109,20260109,USD,,Alibaba_Cloud_12월_매출,300470,11060110,41021020,287.45,412462,10000003,300470,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,HK090000743,VALOFE GLOBAL LIMITED(홍콩법인),
59,1100,20260109,20260109,USD,,Alibaba_Cloud_12월_매출,300470,11060110,41021020,90.46,129801,10000003,300470,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,HK090000743,VALOFE GLOBAL LIMITED(홍콩법인),
60,1100,20260109,20260109,USD,,Alibaba_Cloud_12월_매출,300545,21120110,41021020,1114.77,1599583,10000003,300545,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,CN090000819,"Tieling Sunjin Feed Co., Ltd",
61,1100,20260109,20260109,USD,,Alibaba_Cloud_12월_매출,300470,11060110,41021020,31.84,45687,10000003,300470,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,HK090000743,VALOFE GLOBAL LIMITED(홍콩법인),
62,1100,20260109,20260109,USD,,Alibaba_Cloud_12월_매출,300470,11060110,41021020,0.01,14,10000003,300470,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,HK090000743,VALOFE GLOBAL LIMITED(홍콩법인),
63,1100,20260109,20260109,USD,,Alibaba_Cloud_12월_매출,300543,21120110,41021020,917.04,1315861,10000003,300543,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,CN090000816,"Harim(Liaocheng) Feed mill Co., Ltd.",
64,1100,20260109,20260109,USD,,Alibaba_Cloud_12월_매출,300544,21120110,41021020,1114.77,1599583,10000003,300544,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,SIGM12601000001860,,,CN090000818,"Sunjin (Chengdu) Feed Co.,LTD",
65,1100,20260121,20260121,KRW,,애터미_SKBB_전용선_12(1)월_매출,100953,11060110,41021010,2400000,,10000003,100953,매출ALI999,매입ALI999,ES000142,이은성,IBABA001,,,,,1088188139,애터미 주식회사,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
